,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
301484,EWR|BNA|UA,748.0,149.0
302294,EWR|OMA|UA,1134.0,197.0
302607,SFO|OMA|UA,1433.0,205.0
324076,BWI|MSP|NK,936.0,154.0
324093,MSP|DEN|NK,680.0,122.0
324110,DEN|MSP|NK,680.0,115.0
324269,MSP|BOS|NK,1124.0,170.0
324425,BOS|MSP|NK,1124.0,194.0
324896,PDX|ORD|NK,1739.0,237.0
324913,ORD|PDX|NK,1739.0,253.0
333602,IAD|ATL|UA,534.0,110.0
338611,JAX|IAD|UA,630.0,118.0
342133,IAH|ORF|UA,1201.0,173.0
370343,SAT|ORD|AA,1041.0,170.0
371865,IND|ORD|AA,177.0,67.0
371887,ORD|IND|AA,177.0,58.0
373644,ORD|SAT|AA,1041.0,174.0
307,MSP|SAT|DL,1097.0,179.0
347,MSP|CVG|DL,596.0,107.0
1157,BUF|MSP|DL,735.0,136.0
1193,PWM|DTW|DL,668.0,131.0
1330,DTW|PWM|DL,668.0,112.0
1392,CVG|MSP|DL,596.0,117.0
1504,DTW|SAT|DL,1214.0,202.0
1705,MSP|IAD|DL,908.0,144.0
1857,IAD|MSP|DL,908.0,156.0
2689,MSP|BUF|DL,735.0,123.0
2903,FAI|SEA|DL,1533.0,216.0
3720,SAT|MSP|DL,1097.0,163.0
7629,DTW|SDF|DL,306.0,77.0
9284,SDF|DTW|DL,306.0,83.0
11127,MSP|SDF|DL,604.0,115.0
11821,DTW|MYR|DL,636.0,116.0
11822,MYR|DTW|DL,636.0,116.0
13629,SDF|MSP|DL,604.0,122.0
15621,LGA|SDF|DL,659.0,154.0
15690,SDF|LGA|DL,659.0,133.0
16802,DTW|LEX|DL,296.0,75.0
16803,LEX|DTW|DL,296.0,83.0
29007,PDX|ANC|DL,1542.0,227.0
31934,DTW|JAX|DL,813.0,142.0
32006,ANC|PDX|DL,1542.0,222.0
36411,JAX|DTW|DL,813.0,143.0
46315,ATL|ANC|DL,3417.0,452.0
46348,MSP|FAI|DL,2466.0,336.0
46375,SLC|ANC|DL,2125.0,292.0
46429,ANC|ATL|DL,3417.0,428.0
46488,FAI|MSP|DL,2466.0,323.0
47058,ANC|SLC|DL,2125.0,274.0
68778,DTW|MDW|DL,228.0,71.0
69930,MDW|DTW|DL,228.0,69.0
74283,CVG|MCI|DL,539.0,106.0
74838,XNA|CVG|DL,562.0,101.0
75747,MSP|XNA|DL,596.0,119.0
76053,XNA|MSP|DL,596.0,119.0
76709,CLL|DFW|EV,164.0,59.0
76739,DFW|CLL|EV,164.0,52.0
80646,LIT|DFW|EV,304.0,83.0
81684,DFW|LIT|EV,304.0,78.0
97844,ATL|SBN|EV,566.0,109.0
97856,SBN|ATL|EV,566.0,116.0
98790,DTW|MLI|EV,373.0,91.0
98809,MLI|DTW|EV,373.0,91.0
99252,MSP|SAV|EV,1092.0,165.0
99256,SAV|MSP|EV,1092.0,174.0
100635,MSP|FSD|EV,196.0,63.0
101284,ALB|MSP|EV,980.0,170.0
101944,XNA|LGA|EV,1147.0,168.0
102299,DTW|HSV|EV,554.0,111.0
102899,BDL|RDU|EV,532.0,105.0
104261,LGA|XNA|EV,1147.0,199.0
104962,RDU|BDL|EV,532.0,104.0
106678,MIA|RDU|EV,700.0,136.0
106681,RDU|MIA|EV,700.0,124.0
110274,MSP|ALB|EV,980.0,147.0
110824,ATL|GRR|EV,640.0,114.0
110854,GRR|ATL|EV,640.0,119.0
112849,DTW|TYS|EV,443.0,95.0
112879,TYS|DTW|EV,443.0,103.0
117113,DEN|IAD|F9,1452.0,201.0
117370,IAD|DEN|F9,1452.0,237.0
117373,DEN|SAT|F9,794.0,130.0
117374,SAT|ATL|F9,874.0,145.0
117417,ATL|SAT|F9,874.0,156.0
117418,SAT|DEN|F9,794.0,145.0
117465,PHL|SAT|F9,1496.0,245.0
